CHR_ID	CHR_POS	LINK	STUDY	Analyzed Phenotype	NHGRI Phenotype	Unnamed: 0	allelotype	phenotype	add_log_OR	add_p	add_se	gen_1_log_OR	gen_1_p	gen_1_se	gen_2_log_OR	gen_2_p	gen_2_se	aic_add	aic_gen	aic_diff	description	gene
6	32638107	www.ncbi.nlm.nih.gov/pubmed/25827949	Genome-wide association study identifies new susceptibility loci for cutaneous lupus erythematosus.	connective tissue disorder	Cutaneous lupus erythematosus	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/25827949	Genome-wide association study identifies new susceptibility loci for cutaneous lupus erythematosus.	connective tissue disorder	Cutaneous lupus erythematosus	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32632280	www.ncbi.nlm.nih.gov/pubmed/28029757	Identification of Functional and Expression Polymorphisms Associated With Risk for Antineutrophil Cytoplasmic Autoantibody-Associated Vasculitis.	connective tissue disorder	Antineutrophil cytoplasmic antibody-associated vasculitis	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32632280	www.ncbi.nlm.nih.gov/pubmed/28029757	Identification of Functional and Expression Polymorphisms Associated With Risk for Antineutrophil Cytoplasmic Autoantibody-Associated Vasculitis.	connective tissue disorder	Antineutrophil cytoplasmic antibody-associated vasculitis	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32696074	www.ncbi.nlm.nih.gov/pubmed/18668548	Genome-wide association study of rheumatoid arthritis in the Spanish population: KLF12 as a risk locus for rheumatoid arthritis susceptibility.	connective tissue disorder	Rheumatoid arthritis	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32696074	www.ncbi.nlm.nih.gov/pubmed/18668548	Genome-wide association study of rheumatoid arthritis in the Spanish population: KLF12 as a risk locus for rheumatoid arthritis susceptibility.	connective tissue disorder	Rheumatoid arthritis	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32702178	www.ncbi.nlm.nih.gov/pubmed/23918589	"A genome-wide association study reveals ARL15, a novel non-HLA susceptibility gene for rheumatoid arthritis in North Indians."	connective tissue disorder	Rheumatoid arthritis	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32702178	www.ncbi.nlm.nih.gov/pubmed/23918589	"A genome-wide association study reveals ARL15, a novel non-HLA susceptibility gene for rheumatoid arthritis in North Indians."	connective tissue disorder	Rheumatoid arthritis	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/18204098	Association of systemic lupus erythematosus with C8orf13-BLK and ITGAM-ITGAX.	connective tissue disorder	Systemic lupus erythematosus	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/18204098	Association of systemic lupus erythematosus with C8orf13-BLK and ITGAM-ITGAX.	connective tissue disorder	Systemic lupus erythematosus	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32696681	www.ncbi.nlm.nih.gov/pubmed/21408207	Differential genetic associations for systemic lupus erythematosus based on anti-dsDNA autoantibody production.	connective tissue disorder	Systemic lupus erythematosus	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
